NOMDPO,LIBPRD,NUMCPT,MOIS,CODGVR,CODLOC,SUM(MNTHT),SUM(QTEPRD),prixHT,STATION
4,3,153170,18-May,22,3,31518.142,23.0,1370.354,JORF JERBA
1,3,153170,19-Jan,22,3,23811.68,16.0,1488.23,JORF JERBA
2,2,153170,19-Jan,22,3,12842.352,8.0,1605.294,JORF JERBA
4,3,153170,18-Aug,22,3,53158.862,37.0,1436.726,JORF JERBA
3,2,153170,18-Aug,22,3,9338.316,6.0,1556.3860000000002,JORF JERBA
1,3,153170,18-Oct,22,3,7449.115,5.0,1489.8229999999999,JORF JERBA
1,2,153170,18-Nov,22,3,16068.07,10.0,1606.807,JORF JERBA
1,2,153170,19-Apr,22,3,60150.24,36.0,1670.84,JORF JERBA
4,2,153170,19-Mar,22,3,38527.056,24.0,1605.2939999999999,JORF JERBA
4,2,153170,19-May,22,3,10025.04,6.0,1670.8400000000001,JORF JERBA
4,2,153170,19-Jul,22,3,56791.752,34.0,1670.3456470588235,JORF JERBA
1,6,153170,19-Jul,22,3,29545.836,19.0,1555.0439999999999,JORF JERBA
4,1,153170,18-Jan,22,3,78833.503,73.0,1079.911,JORF JERBA
4,1,153170,18-Aug,22,3,64288.674,54.0,1190.531,JORF JERBA
1,2,153170,18-Jun,22,3,27195.623,18.0,1510.8679444444444,JORF JERBA
4,2,153170,18-Sep,22,3,59451.859,37.0,1606.807,JORF JERBA
4,6,153170,19-May,22,3,7786.285,5.0,1557.257,JORF JERBA
3,3,153170,18-Feb,22,3,3978.318,3.0,1326.106,JORF JERBA
3,3,153170,18-Jan,22,3,9282.742,7.0,1326.106,JORF JERBA
4,3,153170,18-Apr,22,3,34258.85,25.0,1370.354,JORF JERBA
1,1,153170,19-Jan,22,3,69042.05,55.0,1255.31,JORF JERBA
4,1,153170,18-Jul,22,3,77384.515,65.0,1190.531,JORF JERBA
4,3,153170,18-Sep,22,3,43204.867,29.0,1489.8229999999999,JORF JERBA
4,1,153170,19-Feb,22,3,92892.94,74.0,1255.31,JORF JERBA
1,1,153170,19-Jun,22,3,49327.882,37.0,1333.186,JORF JERBA
1,2,153170,19-Sep,22,3,31706.041,19.0,1668.739,JORF JERBA
1,2,153170,19-Dec,22,3,60074.604,36.0,1668.739,JORF JERBA
4,3,153170,18-Oct,22,3,26816.814,18.0,1489.8229999999999,JORF JERBA
1,2,153170,19-Aug,22,3,106799.296,64.0,1668.739,JORF JERBA
2,1,153170,19-Jul,22,3,41328.766,31.0,1333.1860000000001,JORF JERBA
4,6,153170,19-Sep,22,3,17105.484,11.0,1555.044,JORF JERBA
4,2,153170,18-May,22,3,13440.249,9.0,1493.3609999999999,JORF JERBA
4,2,153170,18-Dec,22,3,6427.228,4.0,1606.807,JORF JERBA
1,6,153170,19-Apr,22,3,35816.911,23.0,1557.257,JORF JERBA
1,6,153170,19-Sep,22,3,20215.572,13.0,1555.044,JORF JERBA
4,3,153170,19-Apr,22,3,6229.028,4.0,1557.257,JORF JERBA
1,6,153170,19-Mar,22,3,5952.92,4.0,1488.23,JORF JERBA
4,2,153170,18-Mar,22,3,34832.256,24.0,1451.344,JORF JERBA
1,2,153170,18-Aug,22,3,177428.004,114.0,1556.386,JORF JERBA
2,1,153170,18-Aug,22,3,13095.841,11.0,1190.531,JORF JERBA
1,2,153170,18-Oct,22,3,6427.228,4.0,1606.807,JORF JERBA
1,1,153170,19-Apr,22,3,93323.02,70.0,1333.1860000000001,JORF JERBA
4,2,153170,19-Aug,22,3,11681.173,7.0,1668.739,JORF JERBA
1,1,153170,19-Mar,22,3,37659.3,30.0,1255.3100000000002,JORF JERBA
4,6,153170,19-Oct,22,3,27990.792,18.0,1555.044,JORF JERBA
1,6,153170,19-Oct,22,3,12440.352,8.0,1555.044,JORF JERBA
4,1,153170,18-Feb,22,3,20518.309,19.0,1079.911,JORF JERBA
4,1,153170,18-Mar,22,3,74513.859,69.0,1079.911,JORF JERBA
4,2,153170,18-Aug,22,3,20233.018,13.0,1556.386,JORF JERBA
1,1,153170,18-Aug,22,3,59526.55,50.0,1190.531,JORF JERBA
2,2,153170,18-Aug,22,3,10894.702,7.0,1556.386,JORF JERBA
1,3,153170,18-Nov,22,3,7449.115,5.0,1489.8229999999999,JORF JERBA
4,3,153170,19-Feb,22,3,40182.21,27.0,1488.23,JORF JERBA
1,6,153170,19-Aug,22,3,66866.892,43.0,1555.044,JORF JERBA
2,1,153170,19-Jun,22,3,15998.232,12.0,1333.186,JORF JERBA
4,3,153170,18-Mar,22,3,30500.438,23.0,1326.106,JORF JERBA
4,3,153170,18-Jun,22,3,15405.754,11.0,1400.523090909091,JORF JERBA
1,2,153170,19-Jul,22,3,46724.692,28.0,1668.739,JORF JERBA
4,2,153170,19-Nov,22,3,31706.041,19.0,1668.739,JORF JERBA
4,3,153170,18-Feb,22,3,21217.696,16.0,1326.106,JORF JERBA
1,2,153170,18-Dec,22,3,56211.011,35.0,1606.0288857142857,JORF JERBA
1,1,153170,18-Jun,22,3,35973.088,32.0,1124.159,JORF JERBA
4,2,153170,19-Jun,22,3,31745.96,19.0,1670.84,JORF JERBA
4,6,153170,19-Aug,22,3,6220.176,4.0,1555.044,JORF JERBA
4,6,153170,19-Nov,22,3,18660.528,12.0,1555.0439999999999,JORF JERBA
4,1,153170,18-Apr,22,3,61828.745,55.0,1124.159,JORF JERBA
4,2,153170,18-Apr,22,3,34347.303,23.0,1493.361,JORF JERBA
4,1,153170,18-Dec,22,3,41477.799,33.0,1256.903,JORF JERBA
1,2,153170,19-Jan,22,3,32105.88,20.0,1605.294,JORF JERBA
1,3,153170,18-Jul,22,3,15803.986,11.0,1436.726,JORF JERBA
4,1,153170,18-Sep,22,3,71643.471,57.0,1256.903,JORF JERBA
1,1,153170,18-Oct,22,3,74157.277,59.0,1256.903,JORF JERBA
4,3,153170,18-Nov,22,3,31286.283,21.0,1489.8229999999999,JORF JERBA
4,6,153170,19-Jun,22,3,21801.598,14.0,1557.257,JORF JERBA
4,1,153170,19-Mar,22,3,36403.99,29.0,1255.31,JORF JERBA
1,1,153170,19-Aug,22,3,107808.813,81.0,1330.973,JORF JERBA
1,2,153170,19-Oct,22,3,18356.129,11.0,1668.739,JORF JERBA
4,2,153170,18-Feb,22,3,11610.752,8.0,1451.344,JORF JERBA
4,3,153170,18-Jan,22,3,25196.014,19.0,1326.106,JORF JERBA
4,1,153170,18-Feb,22,3,32397.33,30.0,1079.911,JORF JERBA
4,2,153170,18-Feb,22,3,15964.784,11.0,1451.344,JORF JERBA
1,3,153170,18-Jun,22,3,13703.54,10.0,1370.354,JORF JERBA
1,2,153170,19-May,22,3,41771.0,25.0,1670.84,JORF JERBA
1,2,153170,19-Jun,22,3,36758.48,22.0,1670.8400000000001,JORF JERBA
1,1,153170,19-Jul,22,3,75887.591,57.0,1331.3612456140352,JORF JERBA
1,1,153170,19-Dec,22,3,77196.434,58.0,1330.973,JORF JERBA
1,2,153170,18-May,22,3,17920.332,12.0,1493.3609999999999,JORF JERBA
4,3,153170,18-Jul,22,3,41665.054,29.0,1436.7259999999999,JORF JERBA
1,1,153170,18-Nov,22,3,65358.956,52.0,1256.903,JORF JERBA
3,3,153170,19-Jan,22,3,8929.38,6.0,1488.2299999999998,JORF JERBA
1,6,153170,19-May,22,3,24916.112,16.0,1557.257,JORF JERBA
4,2,153170,19-Apr,22,3,15037.56,9.0,1670.84,JORF JERBA
1,2,153170,19-Mar,22,3,11237.058,7.0,1605.294,JORF JERBA
1,3,153170,18-Dec,22,3,46166.99,31.0,1489.2577419354839,JORF JERBA
4,1,153170,18-Jun,22,3,37366.9,32.0,1167.715625,JORF JERBA
4,2,153170,18-Oct,22,3,32136.14,20.0,1606.807,JORF JERBA
4,2,153170,19-Oct,22,3,46724.692,28.0,1668.739,JORF JERBA
4,2,153170,18-Jan,22,3,30478.224,21.0,1451.3439999999998,JORF JERBA
4,1,153170,18-May,22,3,65201.222,58.0,1124.159,JORF JERBA
1,2,153170,18-Jul,22,3,63811.826,41.0,1556.386,JORF JERBA
1,3,153170,18-Aug,22,3,27297.794,19.0,1436.726,JORF JERBA
4,2,153170,19-Feb,22,3,51369.408,32.0,1605.294,JORF JERBA
4,2,153170,19-Sep,22,3,28368.563,17.0,1668.7389999999998,JORF JERBA
1,1,153170,19-Oct,22,3,31943.352,24.0,1330.973,JORF JERBA
2,1,153170,19-Jan,22,3,12553.1,10.0,1255.31,JORF JERBA
2,2,153170,18-Jul,22,3,15563.86,10.0,1556.386,JORF JERBA
3,1,153170,18-Nov,22,3,20110.448,16.0,1256.903,JORF JERBA
1,1,153170,19-May,22,3,77324.788,58.0,1333.186,JORF JERBA
1,1,153170,19-Sep,22,3,54569.893,41.0,1330.973,JORF JERBA
4,6,153170,19-Mar,22,3,25299.91,17.0,1488.23,JORF JERBA
1,2,153170,19-Nov,22,3,40049.736,24.0,1668.7389999999998,JORF JERBA
4,2,153170,18-Nov,22,3,27315.719,17.0,1606.807,JORF JERBA
1,1,153170,18-Dec,22,3,51488.419,41.0,1255.8150975609756,JORF JERBA
1,6,153170,19-Jun,22,3,20244.341,13.0,1557.257,JORF JERBA
4,6,153170,19-Jul,22,3,37363.103,24.0,1556.7959583333334,JORF JERBA
4,1,153170,19-Oct,22,3,71872.542,54.0,1330.973,JORF JERBA
4,1,153170,19-Nov,22,3,77196.434,58.0,1330.973,JORF JERBA
1,6,153170,19-Nov,22,3,23325.66,15.0,1555.044,JORF JERBA
1,6,153170,19-Dec,22,3,43541.232,28.0,1555.044,JORF JERBA
